日付,曜日,開始時間,終了時間,休憩時間,労働時間,実働時間累計
1,火,9:00,19:00,1:00,9,9
2,水,9:00,18:00,1:00,8,17
3,木,9:00,18:00,1:00,8,25
4,金,9:00,19:00,1:00,9,34
5,土,,,,0,34
6,日,,,,0,34
7,月,9:00,19:00,1:00,9,43
8,火,9:00,19:00,1:00,9,52
9,水,9:00,18:00,1:00,8,60
10,木,9:00,19:00,1:00,9,69
11,金,9:00,19:00,1:00,9,78
12,土,,,,0,78
13,日,,,,0,78
14,月,9:00,19:30,1:00,9.5,87.5
15,火,9:00,19:00,1:00,9,96.5
16,水,9:00,18:00,1:00,8,104.5
17,木,9:00,18:00,1:00,8,112.5
18,金,9:00,18:00,1:00,8,120.5
19,土,,,,0,120.5
20,日,,,,0,120.5
21,月,9:00,18:00,1:00,8,128.5
22,火,9:00,18:00,1:00,8,136.5
23,水,9:00,18:00,1:00,8,144.5
24,木,9:00,18:30,1:00,8.5,153
25,金,9:00,18:00,1:00,8,161
26,土,,,,0,161
27,日,,,,0,161
28,月,,,,0,161
29,火,,,,0,161
30,水,,,,0,161
31,木,,,,0,161
